"year","quarter_num","quarter","geography","broad_vehicle_type","fuel_type","sales"
2022,1,"Q1 2022","Australia","light_commercial","BEV",9
2022,1,"Q1 2022","Australia","light_commercial","HEV",0
2022,1,"Q1 2022","Australia","light_commercial","ICE",62929
2022,1,"Q1 2022","Australia","light_commercial","PHEV",0
2022,1,"Q1 2022","Australia","passenger","BEV",5108
2022,1,"Q1 2022","Australia","passenger","FCEV",5
2022,1,"Q1 2022","Australia","passenger","HEV",6991
2022,1,"Q1 2022","Australia","passenger","ICE",38325
2022,1,"Q1 2022","Australia","passenger","PHEV",88
2022,1,"Q1 2022","Australia","people_mover","BEV",0
2022,1,"Q1 2022","Australia","people_mover","HEV",0
2022,1,"Q1 2022","Australia","people_mover","ICE",2904
2022,1,"Q1 2022","Australia","SUV","BEV",1635
2022,1,"Q1 2022","Australia","SUV","FCEV",1
2022,1,"Q1 2022","Australia","SUV","HEV",13586
2022,1,"Q1 2022","Australia","SUV","ICE",119244
2022,1,"Q1 2022","Australia","SUV","PHEV",959
2022,2,"Q2 2022","Australia","light_commercial","BEV",15
2022,2,"Q2 2022","Australia","light_commercial","HEV",0
2022,2,"Q2 2022","Australia","light_commercial","ICE",64282
2022,2,"Q2 2022","Australia","light_commercial","PHEV",0
2022,2,"Q2 2022","Australia","passenger","BEV",1339
2022,2,"Q2 2022","Australia","passenger","FCEV",3
2022,2,"Q2 2022","Australia","passenger","HEV",7008
2022,2,"Q2 2022","Australia","passenger","ICE",39656
2022,2,"Q2 2022","Australia","passenger","PHEV",104
2022,2,"Q2 2022","Australia","people_mover","BEV",0
2022,2,"Q2 2022","Australia","people_mover","HEV",0
2022,2,"Q2 2022","Australia","people_mover","ICE",3036
2022,2,"Q2 2022","Australia","SUV","BEV",1574
2022,2,"Q2 2022","Australia","SUV","FCEV",0
2022,2,"Q2 2022","Australia","SUV","HEV",13471
2022,2,"Q2 2022","Australia","SUV","ICE",129501
2022,2,"Q2 2022","Australia","SUV","PHEV",1790
2022,3,"Q3 2022","Australia","light_commercial","BEV",15
2022,3,"Q3 2022","Australia","light_commercial","HEV",0
2022,3,"Q3 2022","Australia","light_commercial","ICE",64335
2022,3,"Q3 2022","Australia","light_commercial","PHEV",0
2022,3,"Q3 2022","Australia","passenger","BEV",4862
2022,3,"Q3 2022","Australia","passenger","FCEV",1
2022,3,"Q3 2022","Australia","passenger","HEV",6298
2022,3,"Q3 2022","Australia","passenger","ICE",38914
2022,3,"Q3 2022","Australia","passenger","PHEV",130
2022,3,"Q3 2022","Australia","people_mover","BEV",2
2022,3,"Q3 2022","Australia","people_mover","HEV",0
2022,3,"Q3 2022","Australia","people_mover","ICE",3328
2022,3,"Q3 2022","Australia","SUV","BEV",7212
2022,3,"Q3 2022","Australia","SUV","FCEV",0
2022,3,"Q3 2022","Australia","SUV","HEV",11961
2022,3,"Q3 2022","Australia","SUV","ICE",122232
2022,3,"Q3 2022","Australia","SUV","PHEV",1513
2022,4,"Q4 2022","Australia","light_commercial","BEV",14
2022,4,"Q4 2022","Australia","light_commercial","HEV",0
2022,4,"Q4 2022","Australia","light_commercial","ICE",61680
2022,4,"Q4 2022","Australia","light_commercial","PHEV",0
2022,4,"Q4 2022","Australia","passenger","BEV",3211
2022,4,"Q4 2022","Australia","passenger","FCEV",5
2022,4,"Q4 2022","Australia","passenger","HEV",6402
2022,4,"Q4 2022","Australia","passenger","ICE",32482
2022,4,"Q4 2022","Australia","passenger","PHEV",90
2022,4,"Q4 2022","Australia","people_mover","BEV",11
2022,4,"Q4 2022","Australia","people_mover","HEV",0
2022,4,"Q4 2022","Australia","people_mover","ICE",2753
2022,4,"Q4 2022","Australia","SUV","BEV",8403
2022,4,"Q4 2022","Australia","SUV","FCEV",0
2022,4,"Q4 2022","Australia","SUV","HEV",16069
2022,4,"Q4 2022","Australia","SUV","ICE",124218
2022,4,"Q4 2022","Australia","SUV","PHEV",1263
2023,1,"Q1 2023","Australia","light_commercial","BEV",25
2023,1,"Q1 2023","Australia","light_commercial","HEV",0
2023,1,"Q1 2023","Australia","light_commercial","ICE",58738
2023,1,"Q1 2023","Australia","light_commercial","PHEV",0
2023,1,"Q1 2023","Australia","passenger","BEV",8469
2023,1,"Q1 2023","Australia","passenger","FCEV",0
2023,1,"Q1 2023","Australia","passenger","HEV",4097
2023,1,"Q1 2023","Australia","passenger","ICE",33713
2023,1,"Q1 2023","Australia","passenger","PHEV",76
2023,1,"Q1 2023","Australia","people_mover","BEV",8
2023,1,"Q1 2023","Australia","people_mover","HEV",0
2023,1,"Q1 2023","Australia","people_mover","ICE",3856
2023,1,"Q1 2023","Australia","SUV","BEV",8894
2023,1,"Q1 2023","Australia","SUV","FCEV",0
2023,1,"Q1 2023","Australia","SUV","HEV",12004
2023,1,"Q1 2023","Australia","SUV","ICE",125829
2023,1,"Q1 2023","Australia","SUV","PHEV",1385
2023,2,"Q2 2023","Australia","light_commercial","BEV",53
2023,2,"Q2 2023","Australia","light_commercial","HEV",0
2023,2,"Q2 2023","Australia","light_commercial","ICE",68682
2023,2,"Q2 2023","Australia","light_commercial","PHEV",0
2023,2,"Q2 2023","Australia","passenger","BEV",6152
2023,2,"Q2 2023","Australia","passenger","FCEV",0
2023,2,"Q2 2023","Australia","passenger","HEV",5948
2023,2,"Q2 2023","Australia","passenger","ICE",37899
2023,2,"Q2 2023","Australia","passenger","PHEV",124
2023,2,"Q2 2023","Australia","people_mover","BEV",12
2023,2,"Q2 2023","Australia","people_mover","HEV",0
2023,2,"Q2 2023","Australia","people_mover","ICE",3573
2023,2,"Q2 2023","Australia","SUV","BEV",19479
2023,2,"Q2 2023","Australia","SUV","FCEV",0
2023,2,"Q2 2023","Australia","SUV","HEV",16264
2023,2,"Q2 2023","Australia","SUV","ICE",136411
2023,2,"Q2 2023","Australia","SUV","PHEV",1947
2023,3,"Q3 2023","Australia","light_commercial","BEV",62
2023,3,"Q3 2023","Australia","light_commercial","HEV",0
2023,3,"Q3 2023","Australia","light_commercial","ICE",66237
2023,3,"Q3 2023","Australia","light_commercial","PHEV",0
2023,3,"Q3 2023","Australia","passenger","BEV",6017
