"year","geography","broad_vehicle_type","fuel_type","sales","quarters_available","coverage_status"
2022,"Australia","light_commercial","BEV",53,4,"complete_year"
2022,"Australia","light_commercial","HEV",0,4,"complete_year"
2022,"Australia","light_commercial","ICE",253226,4,"complete_year"
2022,"Australia","light_commercial","PHEV",0,4,"complete_year"
2022,"Australia","passenger","BEV",14520,4,"complete_year"
2022,"Australia","passenger","FCEV",14,4,"complete_year"
2022,"Australia","passenger","HEV",26699,4,"complete_year"
2022,"Australia","passenger","ICE",149377,4,"complete_year"
2022,"Australia","passenger","PHEV",412,4,"complete_year"
2022,"Australia","people_mover","BEV",13,4,"complete_year"
2022,"Australia","people_mover","HEV",0,4,"complete_year"
2022,"Australia","people_mover","ICE",12021,4,"complete_year"
2022,"Australia","SUV","BEV",18824,4,"complete_year"
2022,"Australia","SUV","FCEV",1,4,"complete_year"
2022,"Australia","SUV","HEV",55087,4,"complete_year"
2022,"Australia","SUV","ICE",495195,4,"complete_year"
2022,"Australia","SUV","PHEV",5525,4,"complete_year"
2023,"Australia","light_commercial","BEV",212,4,"complete_year"
2023,"Australia","light_commercial","HEV",20,4,"complete_year"
2023,"Australia","light_commercial","ICE",270958,4,"complete_year"
2023,"Australia","light_commercial","PHEV",0,4,"complete_year"
2023,"Australia","passenger","BEV",29437,4,"complete_year"
2023,"Australia","passenger","FCEV",6,4,"complete_year"
2023,"Australia","passenger","HEV",28674,4,"complete_year"
2023,"Australia","passenger","ICE",138181,4,"complete_year"
2023,"Australia","passenger","PHEV",512,4,"complete_year"
2023,"Australia","people_mover","BEV",42,4,"complete_year"
2023,"Australia","people_mover","HEV",41,4,"complete_year"
2023,"Australia","people_mover","ICE",14468,4,"complete_year"
2023,"Australia","SUV","BEV",57526,4,"complete_year"
2023,"Australia","SUV","FCEV",0,4,"complete_year"
2023,"Australia","SUV","HEV",69704,4,"complete_year"
2023,"Australia","SUV","ICE",541525,4,"complete_year"
2023,"Australia","SUV","PHEV",10707,4,"complete_year"
2024,"Australia","light_commercial","BEV",362,4,"complete_year"
2024,"Australia","light_commercial","HEV",826,4,"complete_year"
2024,"Australia","light_commercial","ICE",265406,4,"complete_year"
2024,"Australia","light_commercial","PHEV",0,4,"complete_year"
2024,"Australia","passenger","BEV",40083,4,"complete_year"
2024,"Australia","passenger","FCEV",9,4,"complete_year"
2024,"Australia","passenger","HEV",39195,4,"complete_year"
2024,"Australia","passenger","ICE",117323,4,"complete_year"
2024,"Australia","passenger","PHEV",810,4,"complete_year"
2024,"Australia","people_mover","BEV",52,4,"complete_year"
2024,"Australia","people_mover","HEV",989,4,"complete_year"
2024,"Australia","people_mover","ICE",12613,4,"complete_year"
2024,"Australia","SUV","BEV",50796,4,"complete_year"
2024,"Australia","SUV","FCEV",1,4,"complete_year"
2024,"Australia","SUV","HEV",131803,4,"complete_year"
2024,"Australia","SUV","ICE",499787,4,"complete_year"
2024,"Australia","SUV","PHEV",22170,4,"complete_year"
2025,"Australia","light_commercial","BEV",545,4,"complete_year"
2025,"Australia","light_commercial","HEV",1187,4,"complete_year"
2025,"Australia","light_commercial","ICE",245873,4,"complete_year"
2025,"Australia","light_commercial","PHEV",20634,4,"complete_year"
2025,"Australia","passenger","BEV",22136,4,"complete_year"
2025,"Australia","passenger","FCEV",2,4,"complete_year"
2025,"Australia","passenger","HEV",35818,4,"complete_year"
2025,"Australia","passenger","ICE",90800,4,"complete_year"
2025,"Australia","passenger","PHEV",1184,4,"complete_year"
2025,"Australia","people_mover","BEV",771,4,"complete_year"
2025,"Australia","people_mover","HEV",2447,4,"complete_year"
2025,"Australia","people_mover","ICE",11689,4,"complete_year"
2025,"Australia","SUV","BEV",79818,4,"complete_year"
2025,"Australia","SUV","FCEV",0,4,"complete_year"
2025,"Australia","SUV","HEV",159681,4,"complete_year"
2025,"Australia","SUV","ICE",486532,4,"complete_year"
2025,"Australia","SUV","PHEV",31666,4,"complete_year"
2026,"Australia","light_commercial","BEV",186,1,"partial_year"
2026,"Australia","light_commercial","HEV",263,1,"partial_year"
2026,"Australia","light_commercial","ICE",55615,1,"partial_year"
2026,"Australia","light_commercial","PHEV",4738,1,"partial_year"
2026,"Australia","passenger","BEV",6942,1,"partial_year"
2026,"Australia","passenger","FCEV",0,1,"partial_year"
2026,"Australia","passenger","HEV",9198,1,"partial_year"
2026,"Australia","passenger","ICE",20015,1,"partial_year"
2026,"Australia","passenger","PHEV",334,1,"partial_year"
2026,"Australia","people_mover","BEV",274,1,"partial_year"
2026,"Australia","people_mover","HEV",1274,1,"partial_year"
2026,"Australia","people_mover","ICE",2573,1,"partial_year"
2026,"Australia","SUV","BEV",27033,1,"partial_year"
2026,"Australia","SUV","FCEV",0,1,"partial_year"
2026,"Australia","SUV","HEV",36210,1,"partial_year"
2026,"Australia","SUV","ICE",102336,1,"partial_year"
2026,"Australia","SUV","PHEV",14112,1,"partial_year"
