"year","quarter_num","quarter","state","vehicle_type","broad_vehicle_type","fuel_type","sales"
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Ute (2WD)","light_commercial","BEV",0
2022,1,"Q1 2022","NEW SOUTH WALES","Ute (2WD)","light_commercial","BEV",0
2022,1,"Q1 2022","QUEENSLAND","Ute (2WD)","light_commercial","BEV",0
2022,1,"Q1 2022","SOUTH AUSTRALIA","Ute (2WD)","light_commercial","BEV",0
2022,1,"Q1 2022","VICTORIA","Ute (2WD)","light_commercial","BEV",0
2022,1,"Q1 2022","WESTERN AUSTRALIA","Ute (2WD)","light_commercial","BEV",0
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Ute (4WD)","light_commercial","BEV",0
2022,1,"Q1 2022","NEW SOUTH WALES","Ute (4WD)","light_commercial","BEV",0
2022,1,"Q1 2022","NORTHERN TERRITORY","Ute (4WD)","light_commercial","BEV",0
2022,1,"Q1 2022","QUEENSLAND","Ute (4WD)","light_commercial","BEV",0
2022,1,"Q1 2022","SOUTH AUSTRALIA","Ute (4WD)","light_commercial","BEV",0
2022,1,"Q1 2022","TASMANIA","Ute (4WD)","light_commercial","BEV",0
2022,1,"Q1 2022","VICTORIA","Ute (4WD)","light_commercial","BEV",0
2022,1,"Q1 2022","WESTERN AUSTRALIA","Ute (4WD)","light_commercial","BEV",0
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Van","light_commercial","BEV",0
2022,1,"Q1 2022","NEW SOUTH WALES","Van","light_commercial","BEV",3
2022,1,"Q1 2022","NORTHERN TERRITORY","Van","light_commercial","BEV",0
2022,1,"Q1 2022","QUEENSLAND","Van","light_commercial","BEV",2
2022,1,"Q1 2022","SOUTH AUSTRALIA","Van","light_commercial","BEV",0
2022,1,"Q1 2022","TASMANIA","Van","light_commercial","BEV",0
2022,1,"Q1 2022","VICTORIA","Van","light_commercial","BEV",2
2022,1,"Q1 2022","WESTERN AUSTRALIA","Van","light_commercial","BEV",2
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Large Car","passenger","BEV",4
2022,1,"Q1 2022","NEW SOUTH WALES","Large Car","passenger","BEV",44
2022,1,"Q1 2022","NORTHERN TERRITORY","Large Car","passenger","BEV",0
2022,1,"Q1 2022","QUEENSLAND","Large Car","passenger","BEV",23
2022,1,"Q1 2022","SOUTH AUSTRALIA","Large Car","passenger","BEV",10
2022,1,"Q1 2022","TASMANIA","Large Car","passenger","BEV",2
2022,1,"Q1 2022","VICTORIA","Large Car","passenger","BEV",61
2022,1,"Q1 2022","WESTERN AUSTRALIA","Large Car","passenger","BEV",16
