"year","quarter_num","quarter","geography","vehicle_type","broad_vehicle_type","fuel_type","sales"
2022,1,"Q1 2022","Australia","Ute (2WD)","light_commercial","BEV",0
2022,1,"Q1 2022","Australia","Ute (4WD)","light_commercial","BEV",0
2022,1,"Q1 2022","Australia","Van","light_commercial","BEV",9
2022,1,"Q1 2022","Australia","Ute (4WD)","light_commercial","HEV",0
2022,1,"Q1 2022","Australia","Ute (2WD)","light_commercial","ICE",8737
2022,1,"Q1 2022","Australia","Ute (4WD)","light_commercial","ICE",47704
2022,1,"Q1 2022","Australia","Van","light_commercial","ICE",6488
2022,1,"Q1 2022","Australia","Ute (4WD)","light_commercial","PHEV",0
2022,1,"Q1 2022","Australia","Van","light_commercial","PHEV",0
2022,1,"Q1 2022","Australia","Large Car","passenger","BEV",160
2022,1,"Q1 2022","Australia","Medium Car","passenger","BEV",4576
2022,1,"Q1 2022","Australia","Small Car","passenger","BEV",372
2022,1,"Q1 2022","Australia","Sports Car","passenger","BEV",0
2022,1,"Q1 2022","Australia","Large Car","passenger","FCEV",5
2022,1,"Q1 2022","Australia","Large Car","passenger","HEV",3
2022,1,"Q1 2022","Australia","Medium Car","passenger","HEV",3215
2022,1,"Q1 2022","Australia","Small Car","passenger","HEV",3773
2022,1,"Q1 2022","Australia","Sports Car","passenger","HEV",0
2022,1,"Q1 2022","Australia","Large Car","passenger","ICE",1271
2022,1,"Q1 2022","Australia","Medium Car","passenger","ICE",3913
2022,1,"Q1 2022","Australia","Small Car","passenger","ICE",31082
2022,1,"Q1 2022","Australia","Sports Car","passenger","ICE",2059
2022,1,"Q1 2022","Australia","Large Car","passenger","PHEV",12
2022,1,"Q1 2022","Australia","Medium Car","passenger","PHEV",45
2022,1,"Q1 2022","Australia","Small Car","passenger","PHEV",26
2022,1,"Q1 2022","Australia","Sports Car","passenger","PHEV",5
2022,1,"Q1 2022","Australia","People Mover","people_mover","BEV",0
2022,1,"Q1 2022","Australia","People Mover","people_mover","HEV",0
2022,1,"Q1 2022","Australia","People Mover","people_mover","ICE",2904
2022,1,"Q1 2022","Australia","Large SUV","SUV","BEV",263
2022,1,"Q1 2022","Australia","Medium SUV","SUV","BEV",391
2022,1,"Q1 2022","Australia","Small SUV","SUV","BEV",981
2022,1,"Q1 2022","Australia","Medium SUV","SUV","FCEV",1
2022,1,"Q1 2022","Australia","Large SUV","SUV","HEV",1280
2022,1,"Q1 2022","Australia","Medium SUV","SUV","HEV",9264
2022,1,"Q1 2022","Australia","Small SUV","SUV","HEV",3042
2022,1,"Q1 2022","Australia","Large SUV","SUV","ICE",35231
2022,1,"Q1 2022","Australia","Medium SUV","SUV","ICE",39077
2022,1,"Q1 2022","Australia","Small SUV","SUV","ICE",44936
2022,1,"Q1 2022","Australia","Large SUV","SUV","PHEV",146
