"period","period_type","geography","metric","vehicle_type","powertrain","value","unit","estimate_status","source_id","calculation","notes"
"2016","annual_sales","Australia","new_vehicle_sales","total","BEV_or_PHEV",1369,"vehicles","observed","wiki_pev_au",NA,"Tertiary compilation; backfill original source."
"2016","annual_sales","Australia","new_vehicle_sales","total","BEV_or_PHEV_excl_Tesla",282,"vehicles","observed","goauto_2016_full",NA,"GoAuto reports 282 electric vehicles, mainly plug-in hybrids, sold in 2016; Tesla treatment unclear."
"2017","annual_sales","Australia","new_vehicle_sales","total","BEV_or_PHEV",2287,"vehicles","observed","wiki_pev_au",NA,"Tertiary compilation; backfill original source."
"2018","annual_sales","Australia","new_vehicle_sales","total","BEV_or_PHEV",2216,"vehicles","observed","wiki_pev_au",NA,"Tertiary compilation; backfill original source."
"2018","annual_sales","Australia","new_vehicle_sales","total","HEV",14328,"vehicles","observed","goauto_2020_hybrid_market",NA,"GoAuto reports total hybrid deliveries in 2018."
"2019","annual_sales","Australia","new_vehicle_sales","total","BEV_excl_Tesla",1522,"vehicles","derived","carexpert_2020_full","1769 / (1 + 16.2%)","Derived from 2020 EV excluding Tesla total and reported year-on-year growth."
"2019","annual_sales","Australia","new_vehicle_sales","total","BEV_or_PHEV",6718,"vehicles","observed","wiki_pev_au",NA,"Tertiary compilation; backfill original source."
"2019","annual_sales","Australia","new_vehicle_sales","total","HEV",30641,"vehicles","observed","goauto_2020_hybrid_market",NA,"GoAuto reports total hybrid deliveries in 2019."
"2019","annual_sales","Australia","new_vehicle_sales","total","ICE_diesel",332182,"vehicles","derived","carexpert_2020_full","290659 / (1 - 12.5%)","Derived from 2020 diesel total and reported year-on-year decline."
"2019","annual_sales","Australia","new_vehicle_sales","total","ICE_petrol",658193,"vehicles","derived","carexpert_2020_full","527871 / (1 - 19.8%)","Derived from 2020 petrol total and reported year-on-year decline."
"2019","annual_sales","Australia","new_vehicle_sales","total","PHEV",1426,"vehicles","derived","carexpert_2020_full","1685 / (1 + 18.2%)","Derived from 2020 PHEV total and reported year-on-year growth."
"2020","annual_sales","Australia","new_vehicle_sales","total","BEV_excl_Tesla",1769,"vehicles","observed","carexpert_2020_full",NA,"Fuel-type total reported by CarExpert from VFACTS; excludes Tesla."
"2020","annual_sales","Australia","new_vehicle_sales","total","BEV_or_PHEV",6900,"vehicles","observed","wiki_pev_au",NA,"Tertiary compilation; backfill original source."
"2020","annual_sales","Australia","new_vehicle_sales","total","HEV",60417,"vehicles","observed","carexpert_2020_full",NA,"Fuel-type total reported by CarExpert from VFACTS."
"2020","annual_sales","Australia","new_vehicle_sales","total","ICE_diesel",290659,"vehicles","observed","carexpert_2020_full",NA,"Fuel-type total reported by CarExpert from VFACTS."
"2020","annual_sales","Australia","new_vehicle_sales","total","ICE_petrol",527871,"vehicles","observed","carexpert_2020_full",NA,"Fuel-type total reported by CarExpert from VFACTS."
"2020","annual_sales","Australia","new_vehicle_sales","total","PHEV",1685,"vehicles","observed","carexpert_2020_full",NA,"Fuel-type total reported by CarExpert from VFACTS."
"2021","annual_sales","Australia","new_vehicle_sales","total","BEV_excl_Tesla",5149,"vehicles","observed","carexpert_2021_full",NA,"Fuel-type breakdown reports EV minus Tesla."
"2021","annual_sales","Australia","new_vehicle_sales","total","BEV_or_PHEV",17293,"vehicles","observed","wiki_pev_au",NA,"Tertiary compilation; backfill original source."
"2021","annual_sales","Australia","new_vehicle_sales","total","FCEV",38,"vehicles","observed","carexpert_2021_full",NA,"Fuel-type breakdown."
"2021","annual_sales","Australia","new_vehicle_sales","total","HEV",70466,"vehicles","observed","carexpert_2021_full",NA,"Fuel-type breakdown."
"2021","annual_sales","Australia","new_vehicle_sales","total","ICE_diesel",346990,"vehicles","observed","carexpert_2021_full",NA,"Fuel-type breakdown."
"2021","annual_sales","Australia","new_vehicle_sales","total","ICE_petrol",580495,"vehicles","observed","carexpert_2021_full",NA,"Fuel-type breakdown."
"2021","annual_sales","Australia","new_vehicle_sales","total","PHEV",3372,"vehicles","observed","carexpert_2021_full",NA,"Fuel-type breakdown."
"2022","annual_sales","Australia","new_vehicle_sales","total","BEV",33410,"vehicles","observed","carexpert_2022_full",NA,"Fuel-type breakdown."
"2022","annual_sales","Australia","new_vehicle_sales","total","BEV_or_PHEV",39347,"vehicles","observed","wiki_pev_au",NA,"Tertiary compilation; backfill original source."
"2022","annual_sales","Australia","new_vehicle_sales","total","FCEV",15,"vehicles","observed","carexpert_2022_full",NA,"Fuel-type breakdown."
"2022","annual_sales","Australia","new_vehicle_sales","total","HEV",81786,"vehicles","observed","carexpert_2022_full",NA,"Fuel-type breakdown."
"2022","annual_sales","Australia","new_vehicle_sales","total","ICE_diesel",361366,"vehicles","observed","carexpert_2022_full",NA,"Fuel-type breakdown."
"2022","annual_sales","Australia","new_vehicle_sales","total","ICE_petrol",551556,"vehicles","observed","carexpert_2022_full",NA,"Fuel-type breakdown."
"2022","annual_sales","Australia","new_vehicle_sales","total","PHEV",5937,"vehicles","observed","carexpert_2022_full",NA,"Fuel-type breakdown."
"2023","annual_sales","Australia","new_vehicle_sales","total","BEV",87217,"vehicles","observed","carexpert_2023_full",NA,"Fuel-type breakdown."
"2023","annual_sales","Australia","new_vehicle_sales","total","BEV_or_PHEV",98429,"vehicles","observed","wiki_pev_au",NA,"Tertiary compilation; backfill original source."
"2023","annual_sales","Australia","new_vehicle_sales","total","HEV",98439,"vehicles","observed","carexpert_2023_full",NA,"Fuel-type breakdown."
"2023","annual_sales","Australia","new_vehicle_sales","total","ICE_diesel",379512,"vehicles","observed","carexpert_2023_full",NA,"Fuel-type breakdown."
"2023","annual_sales","Australia","new_vehicle_sales","total","ICE_petrol",588622,"vehicles","observed","carexpert_2023_full",NA,"Fuel-type breakdown."
"2023","annual_sales","Australia","new_vehicle_sales","total","PHEV",11212,"vehicles","observed","carexpert_2023_full",NA,"Fuel-type breakdown."
"2024","annual_sales","Australia","new_vehicle_sales","total","BEV",110000,"vehicles","approximate","guardian_2024_vfacts",NA,"Approximate EV unit count reported in article."
"2025","annual_sales","Australia","new_vehicle_sales","total","BEV",103270,"vehicles","observed","carexpert_2025_full",NA,"Fuel/propulsion breakdown excludes heavy commercial vehicles."
"2025","annual_sales","Australia","new_vehicle_sales","total","HEV",199133,"vehicles","observed","carexpert_2025_full",NA,"Fuel/propulsion breakdown excludes heavy commercial vehicles."
"2025","annual_sales","Australia","new_vehicle_sales","total","ICE_diesel",364605,"vehicles","observed","carexpert_2025_full",NA,"Fuel/propulsion breakdown excludes heavy commercial vehicles."
