"period","period_type","geography","metric","vehicle_type","powertrain","value","unit","estimate_status","source_id","calculation","notes"
"2016","annual_sales","Australia","new_vehicle_sales","total","BEV_or_PHEV",1369,"vehicles","observed","wiki_pev_au",NA,"Tertiary compilation; backfill original source."
"2017","annual_sales","Australia","new_vehicle_sales","total","BEV_or_PHEV",2287,"vehicles","observed","wiki_pev_au",NA,"Tertiary compilation; backfill original source."
"2018","annual_sales","Australia","new_vehicle_sales","total","BEV_or_PHEV",2216,"vehicles","observed","wiki_pev_au",NA,"Tertiary compilation; backfill original source."
"2019","annual_sales","Australia","new_vehicle_sales","total","BEV_or_PHEV",6718,"vehicles","observed","wiki_pev_au",NA,"Tertiary compilation; backfill original source."
"2020","annual_sales","Australia","new_vehicle_sales","total","BEV_or_PHEV",6900,"vehicles","observed","wiki_pev_au",NA,"Tertiary compilation; backfill original source."
"2021","annual_sales","Australia","new_vehicle_sales","total","BEV_or_PHEV",17293,"vehicles","observed","wiki_pev_au",NA,"Tertiary compilation; backfill original source."
"2022","annual_sales","Australia","new_vehicle_sales","total","BEV",33410,"vehicles","observed","carexpert_2022_full",NA,"Fuel-type breakdown."
"2022","annual_sales","Australia","new_vehicle_sales","total","BEV_or_PHEV",39347,"vehicles","observed","wiki_pev_au",NA,"Tertiary compilation; backfill original source."
"2023","annual_sales","Australia","new_vehicle_sales","total","BEV",87217,"vehicles","observed","carexpert_2023_full",NA,"Fuel-type breakdown."
"2023","annual_sales","Australia","new_vehicle_sales","total","BEV_or_PHEV",98429,"vehicles","observed","wiki_pev_au",NA,"Tertiary compilation; backfill original source."
"2024","annual_sales","Australia","new_vehicle_sales","total","BEV",110000,"vehicles","approximate","guardian_2024_vfacts",NA,"Approximate EV unit count reported in article."
"2025","annual_sales","Australia","new_vehicle_sales","total","BEV",103270,"vehicles","observed","carexpert_2025_full",NA,"Fuel/propulsion breakdown excludes heavy commercial vehicles."
