"source_id","vehicle_id","manufacturer","model","year","transmission","body_style","fuel","type_of_car","city_cycle_l_100km","highway_cycle_l_100km","adr8101_cycle_l_100km","fuel_system","engine_displacement","engine_displacement_comment","no_cylinders","no_gear_ratios","seating_capacity","axle_ratio","source_url"
"gvg_older_fuel_consumption",12,"Alfa Romeo","33 4x4 Man. Wagon 4dr",1986,"man","Wagon","petrol","Passenger",10,6.8,NA,"C",1.5,NA,4,"5","5","4.11","https://www.greenvehicleguide.gov.au/Content/OlderModels/FuelConsumptionGuide1986-2003.csv"
"gvg_older_fuel_consumption",13,"Alfa Romeo","33 GCL Man. Sedan 4dr",1986,"man","Sedan","petrol","Passenger",11,7,NA,"C",1.5,NA,4,"5","5","4.11","https://www.greenvehicleguide.gov.au/Content/OlderModels/FuelConsumptionGuide1986-2003.csv"
"gvg_older_fuel_consumption",14,"Alfa Romeo","75 Man. Sedan 4dr",1986,"man","Sedan","petrol","Passenger",12.5,9,NA,"I",2.5,NA,6,"5","5","4.10","https://www.greenvehicleguide.gov.au/Content/OlderModels/FuelConsumptionGuide1986-2003.csv"
"gvg_older_fuel_consumption",15,"Alfa Romeo","90 Man. Sedan 4dr",1986,"man","Sedan","petrol","Passenger",12,9,NA,"I",2.5,NA,6,"5","5","4.10","https://www.greenvehicleguide.gov.au/Content/OlderModels/FuelConsumptionGuide1986-2003.csv"
"gvg_older_fuel_consumption",16,"Alfa Romeo","GTV6-2.5 Man. Coupe 2dr",1986,"man","Coupe","petrol","Passenger",12,9,NA,"I",2.5,NA,6,"5","4","4.10","https://www.greenvehicleguide.gov.au/Content/OlderModels/FuelConsumptionGuide1986-2003.csv"
"gvg_older_fuel_consumption",17,"Alfa Romeo","Sprint Man. Coupe 2dr",1986,"man","Coupe","petrol","Passenger",11,7,NA,"C",1.5,NA,4,"5","5","4.11","https://www.greenvehicleguide.gov.au/Content/OlderModels/FuelConsumptionGuide1986-2003.csv"
"gvg_older_fuel_consumption",18,"Audi","80-CC Auto. Sedan 4dr",1986,"auto","Sedan","petrol","Passenger",10.5,8.5,NA,"I",1.8,NA,4,"3","5","3.25","https://www.greenvehicleguide.gov.au/Content/OlderModels/FuelConsumptionGuide1986-2003.csv"
"gvg_older_fuel_consumption",19,"Audi","80-CC Man. Sedan 4dr",1986,"man","Sedan","petrol","Passenger",10,7.6,NA,"I",1.8,NA,4,"5","5","4.11","https://www.greenvehicleguide.gov.au/Content/OlderModels/FuelConsumptionGuide1986-2003.csv"
"gvg_older_fuel_consumption",20,"Bentley","Mulsanne Auto. Saloon 4dr",1986,"auto","Sedan","petrol","Passenger",27,20,NA,"I",6.8,NA,8,"3","5","3.06","https://www.greenvehicleguide.gov.au/Content/OlderModels/FuelConsumptionGuide1986-2003.csv"
"gvg_older_fuel_consumption",21,"Bentley","Mulsanne L Auto. Saloon 4dr",1986,"auto","Sedan","petrol","Passenger",27,20,NA,"I",6.8,NA,8,"3","5","3.06","https://www.greenvehicleguide.gov.au/Content/OlderModels/FuelConsumptionGuide1986-2003.csv"
"gvg_older_fuel_consumption",22,"BMW","318i Auto. Cabriolet 2dr",1986,"auto","Convertible","petrol","Passenger",10.5,7.8,NA,"I",1.8,NA,4,"4","5","4.27","https://www.greenvehicleguide.gov.au/Content/OlderModels/FuelConsumptionGuide1986-2003.csv"
