"manufacturer_id","vehicle_class_id","fuel_type_id","source_id","query_year","vehicle_display_id","model","body","engine","transmission","drivetrain","tailpipe_co2_comb_g_km","tailpipe_co2_urban_g_km","tailpipe_co2_extra_g_km","annual_fuel_cost_aud","fuel_consumption_comb_l_100km","fuel_consumption_urban_l_100km","fuel_consumption_extra_l_100km","energy_consumption_wh_km","electric_range_km","air_pollution_standard","annual_tailpipe_co2_tonnes","fuel_lifecycle_co2_g_km","noise_data","test_cycle","source_url","raw_html_path","fuel_type_label","powertrain_group","vehicle_class_label","manufacturer_label"
NA,3,15,"gvg_current_search",2025,"35459","Alfa Romeo Junior Elettrica","4 door 5 seat SUV","Pure Electric","1 spd Auto","2WD",NA,NA,NA,766,NA,NA,NA,152,407,"Pure EV",0,105,"N/A","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel15_class3_allmake.html","Pure Electric","BEV","Medium Car",NA
5,4,15,"gvg_current_search",2025,"30843","Audi e-tron 50","4 door 5 seat SUV","Pure Electric","1 spd N/A","",NA,NA,NA,1189,NA,NA,NA,236,334,"Pure EV",0,163,"N/A","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel15_class4_make5.html","Pure Electric","BEV","Large Car","Audi"
5,4,15,"gvg_current_search",2025,"32289","Audi e-tron 55 quattro 20/21 Inch Wheel","4 door 5 seat SUV","Pure Electric","1 spd N/A","",NA,NA,NA,1169,NA,NA,NA,232,459,"Pure EV",0,160,"N/A","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel15_class4_make5.html","Pure Electric","BEV","Large Car","Audi"
5,4,15,"gvg_current_search",2025,"32290","Audi e-tron 55 quattro 22 Inch Wheel","4 door 5 seat SUV","Pure Electric","1 spd N/A","",NA,NA,NA,1225,NA,NA,NA,243,435,"Pure EV",0,168,"N/A","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel15_class4_make5.html","Pure Electric","BEV","Large Car","Audi"
5,4,15,"gvg_current_search",2025,"32137","Audi e-tron GT 20","4 door 5 seat Sedan","Pure Electric","2 spd Auto","4WD",NA,NA,NA,968,NA,NA,NA,192,540,"Pure EV",0,132,"N/A","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel15_class4_make5.html","Pure Electric","BEV","Large Car","Audi"
5,4,15,"gvg_current_search",2025,"32138","Audi e-tron GT 21","4 door 5 seat Sedan","Pure Electric","2 spd Auto","4WD",NA,NA,NA,988,NA,NA,NA,196,523,"Pure EV",0,135,"N/A","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel15_class4_make5.html","Pure Electric","BEV","Large Car","Audi"
5,4,15,"gvg_current_search",2025,"31752","Audi e-tron S e-tron S quattro","4 door 5 seat SUV","Pure Electric","1 spd Auto","4WD",NA,NA,NA,1331,NA,NA,NA,264,413,"Pure EV",0,182,"N/A","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel15_class4_make5.html","Pure Electric","BEV","Large Car","Audi"
5,4,15,"gvg_current_search",2025,"31753","Audi e-tron S Sportback e-tron S quattro","4 door 5 seat SUV","Pure Electric","1 spd Auto","4WD",NA,NA,NA,1310,NA,NA,NA,260,418,"Pure EV",0,179,"N/A","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel15_class4_make5.html","Pure Electric","BEV","Large Car","Audi"
5,4,15,"gvg_current_search",2025,"31615","Audi e-tron S Sportback e-tron S quattro 20 Inch Wheel","4 door 5 seat SUV","Pure Electric","1 spd Auto","4WD",NA,NA,NA,1310,NA,NA,NA,260,418,"Pure EV",0,179,"N/A","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel15_class4_make5.html","Pure Electric","BEV","Large Car","Audi"
5,4,15,"gvg_current_search",2025,"30846","Audi e-tron Sportback 50","4 door 5 seat SUV","Pure Electric","1 spd N/A","",NA,NA,NA,1169,NA,NA,NA,232,341,"Pure EV",0,160,"N/A","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel15_class4_make5.html","Pure Electric","BEV","Large Car","Audi"
