"period","geography","vehicle_type","sales"
"2019","Australia","SUV",432915
"2019","Australia","passenger",263126
"2019","Australia","light_commercial",207448
"2019","Australia","people_mover",6493
"2019","Australia","bus",2577
"2020","Australia","SUV",406232
"2020","Australia","light_commercial",190368
"2020","Australia","passenger",176972
"2020","Australia","people_mover",3650
"2020","Australia","bus",2027
"2021","Australia","light_commercial",178204
"2021","Australia","SUV",172187
"2021","Australia","passenger",100357
"2022","Australia","SUV",213195
"2022","Australia","light_commercial",176579
"2022","Australia","passenger",74972
"2024","Australia","SUV",627253
"2024","Australia","light_commercial",235663
"2024","Australia","passenger",154934
"2024","Australia","people_mover",10080
"2025","Australia","SUV",324433
"2025","Australia","light_commercial",171664
"2025","Australia","passenger",18968
"2026-04","Australia","SUV",16795
"2026-04","Australia","light_commercial",6496
"2026-05","Australia","SUV",20218
"2026-05","Australia","light_commercial",10395
