"sales_model_key","period","make","sales_model","canonical_model","vehicle_type","powertrain_profile","spec_model","broad_vehicle_type","powertrain","min_listed_price_aud","max_listed_price_aud","max_range_km","min_energy_consumption","variant_count","source_id","spec_match_status","powertrain_match_status","usable_spec_match"
"audi a3","2019","Audi","A3","Audi A3","passenger","ICE_petrol",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"audi q2","2019","Audi","Q2","Audi Q2","SUV","ICE_petrol",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"audi q5","2019","Audi","Q5","Audi Q5","SUV","mixed_ICE_PHEV",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"bmw 1 series","2019","BMW","1 Series","BMW 1 Series","passenger","ICE_petrol_or_diesel",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"bmw 3 series","2019","BMW","3 Series","BMW 3 Series","passenger","mixed_ICE_PHEV",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"bmw x1","2019","BMW","X1","BMW X1","SUV","mixed_ICE_BEV",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"bmw x3","2019","BMW","X3","BMW X3","SUV","mixed_ICE_PHEV","BMW X3","SUV","PHEV",104800,104800,NA,NA,1,"aaa_ev_index_vehicle_specs","exact_model_name_match","compatible",TRUE
"bmw x5","2019","BMW","X5","BMW X5","SUV","mixed_ICE_PHEV",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"ford escape","2019","Ford","Escape","Ford Escape","SUV","ICE_petrol",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"ford everest","2019","Ford","Everest","Ford Everest","SUV","ICE_diesel",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"ford focus","2019","Ford","Focus","Ford Focus","passenger","ICE_petrol",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"ford mustang","2019","Ford","Mustang","Ford Mustang","passenger","ICE_petrol",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"ford ranger","2019","Ford","Ranger","Ford Ranger","light_commercial","mixed_ICE_PHEV","Ford Ranger","light_commercial","PHEV",79990,79990,49,18.7,1,"aaa_ev_index_vehicle_specs","exact_model_name_match","compatible",TRUE
"holden acadia","2019","Holden","Acadia","Holden Acadia","SUV","ICE_petrol",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"holden astra","2019","Holden","Astra","Holden Astra","passenger","ICE_petrol",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"holden colorado","2019","Holden","Colorado","Holden Colorado","light_commercial","ICE_diesel",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"holden commodore","2019","Holden","Commodore","Holden Commodore","passenger","ICE_petrol_or_diesel",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"holden equinox","2019","Holden","Equinox","Holden Equinox","SUV","ICE_petrol_or_diesel",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"holden trailblazer","2019","Holden","Trailblazer","Holden Trailblazer","SUV","ICE_diesel",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"holden trax","2019","Holden","Trax","Holden Trax","SUV","ICE_petrol",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
"honda civic","2019","Honda","Civic","Honda Civic","passenger","ICE_petrol",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no_exact_spec_match","no_spec_match",FALSE
