"period","observation_level","row_quality","row_count"
"2016","market_total","direct_official_or_primary",1
"2016","powertrain_total","direct_media_vfacts_quote",1
"2016","powertrain_total","tertiary_compilation",1
"2016","vehicle_type_powertrain","direct_media_vfacts_quote",1
"2016","vehicle_type_total","derived_from_public_percent_or_residual",2
"2016","vehicle_type_total","direct_media_vfacts_quote",2
"2017","market_total","direct_media_vfacts_quote",1
"2017","powertrain_total","tertiary_compilation",1
"2017","vehicle_type_powertrain","direct_media_vfacts_quote",9
"2017","vehicle_type_total","direct_media_vfacts_quote",4
"2018","market_total","direct_media_vfacts_quote",1
"2018","powertrain_total","direct_media_vfacts_quote",1
"2018","powertrain_total","tertiary_compilation",1
"2018","vehicle_type_powertrain","direct_media_vfacts_quote",8
"2018","vehicle_type_total","direct_media_vfacts_quote",4
"2019","market_total","direct_official_or_primary",1
"2019","powertrain_total","derived_from_public_percent_or_residual",4
"2019","powertrain_total","direct_media_vfacts_quote",1
"2019","powertrain_total","tertiary_compilation",1
"2019","vehicle_type_total","derived_from_public_percent_or_residual",4
"2020","market_total","direct_media_vfacts_quote",1
"2020","powertrain_total","direct_media_vfacts_quote",5
"2020","powertrain_total","tertiary_compilation",1
"2020","vehicle_type_total","derived_from_public_percent_or_residual",4
"2021","market_total","direct_media_vfacts_quote",1
"2021","powertrain_total","direct_media_vfacts_quote",6
"2021","powertrain_total","tertiary_compilation",1
"2021","vehicle_type_total","direct_media_vfacts_quote",4
"2022","market_total","direct_dashboard_complete",1
"2022","powertrain_total","direct_dashboard_complete",5
"2022","vehicle_type_powertrain","direct_dashboard_complete",17
"2022","vehicle_type_total","direct_dashboard_complete",4
"2022","vehicle_type_total","direct_media_vfacts_quote",1
"2023","market_total","direct_dashboard_complete",1
"2023","powertrain_total","direct_dashboard_complete",5
"2023","vehicle_type_powertrain","direct_dashboard_complete",17
"2023","vehicle_type_total","direct_dashboard_complete",4
"2023","vehicle_type_total","direct_media_vfacts_quote",1
"2024","market_total","direct_dashboard_complete",1
"2024","powertrain_total","direct_dashboard_complete",5
"2024","vehicle_type_powertrain","direct_dashboard_complete",17
"2024","vehicle_type_total","direct_dashboard_complete",4
"2025","market_total","direct_dashboard_complete",1
"2025","powertrain_total","direct_dashboard_complete",5
"2025","vehicle_type_powertrain","direct_dashboard_complete",17
"2025","vehicle_type_total","direct_dashboard_complete",4
"2025","vehicle_type_total","direct_media_vfacts_quote",1
"2026","market_total","direct_dashboard_partial",1
"2026","powertrain_total","direct_dashboard_partial",5
"2026","vehicle_type_powertrain","direct_dashboard_partial",17
"2026","vehicle_type_total","direct_dashboard_partial",4
