"period","geography","vehicle_type","powertrain","observation_level","source_id","sales","unit","period_type","metric","estimate_status","coverage_status","preferred_for_projection","notes","source_grade","source_type","publisher","tesla_scope","powertrain_canonical","market_scope","row_quality","uncertainty_band_percent","lower_sales","upper_sales","projection_caveat","row_count","range_sales"
"2022","Australia","light_commercial","total","vehicle_type_total","aaa_ev_index",253279,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across fuel types.","A","official_dashboard","Australian Automobile Association","includes_tesla","total","light_vehicle","direct_dashboard_complete",0.5,252013,254545,"",2,3103
"2022","Australia","light_commercial","total","vehicle_type_total","carexpert_2022_full",256382,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Category breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,251254,261510,"",2,3103
"2022","Australia","passenger","total","vehicle_type_total","aaa_ev_index",191022,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across fuel types.","A","official_dashboard","Australian Automobile Association","includes_tesla","total","light_vehicle","direct_dashboard_complete",0.5,190067,191977,"",2,12034
"2022","Australia","passenger","total","vehicle_type_total","carexpert_2022_full",203056,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Category breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,198995,207117,"",2,12034
"2022","Australia","SUV","total","vehicle_type_total","aaa_ev_index",574632,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across fuel types.","A","official_dashboard","Australian Automobile Association","includes_tesla","total","light_vehicle","direct_dashboard_complete",0.5,571759,577505,"",2,0
"2022","Australia","SUV","total","vehicle_type_total","carexpert_2022_full",574632,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Category breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,563139,586125,"",2,0
"2022","Australia","total","BEV","powertrain_total","aaa_ev_index",33410,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across broad light-vehicle types.","A","official_dashboard","Australian Automobile Association","includes_tesla","BEV","light_vehicle","direct_dashboard_complete",0.5,33243,33577,"",2,0
"2022","Australia","total","BEV","powertrain_total","carexpert_2022_full",33410,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Fuel-type breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","BEV","all_new_vehicles","direct_media_vfacts_quote",2,32742,34078,"",2,0
"2022","Australia","total","FCEV","powertrain_total","aaa_ev_index",15,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across broad light-vehicle types.","A","official_dashboard","Australian Automobile Association","includes_tesla","FCEV","light_vehicle","direct_dashboard_complete",0.5,15,15,"",2,0
"2022","Australia","total","FCEV","powertrain_total","carexpert_2022_full",15,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Fuel-type breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","FCEV","all_new_vehicles","direct_media_vfacts_quote",2,15,15,"",2,0
"2022","Australia","total","HEV","powertrain_total","aaa_ev_index",81786,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across broad light-vehicle types.","A","official_dashboard","Australian Automobile Association","includes_tesla","HEV","light_vehicle","direct_dashboard_complete",0.5,81377,82195,"",2,0
"2022","Australia","total","HEV","powertrain_total","carexpert_2022_full",81786,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Fuel-type breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","HEV","all_new_vehicles","direct_media_vfacts_quote",2,80150,83422,"",2,0
"2022","Australia","total","PHEV","powertrain_total","aaa_ev_index",5937,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across broad light-vehicle types.","A","official_dashboard","Australian Automobile Association","includes_tesla","PHEV","light_vehicle","direct_dashboard_complete",0.5,5907,5967,"",2,0
"2022","Australia","total","PHEV","powertrain_total","carexpert_2022_full",5937,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Fuel-type breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","PHEV","all_new_vehicles","direct_media_vfacts_quote",2,5818,6056,"",2,0
"2022","Australia","total","total","market_total","aaa_ev_index",1030967,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index light-vehicle market rollup across broad vehicle and fuel types.","A","official_dashboard","Australian Automobile Association","includes_tesla","total","light_vehicle","direct_dashboard_complete",0.5,1025812,1036122,"light-vehicle market only; excludes heavy commercial",2,50462
"2022","Australia","total","total","market_total","carexpert_2022_full",1081429,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"CarExpert reports VFACTS full-year 2022 market total.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","all_new_vehicles","direct_media_vfacts_quote",2,1059800,1103058,"",2,50462
"2023","Australia","light_commercial","total","vehicle_type_total","aaa_ev_index",271190,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across fuel types.","A","official_dashboard","Australian Automobile Association","includes_tesla","total","light_vehicle","direct_dashboard_complete",0.5,269834,272546,"",2,2995
"2023","Australia","light_commercial","total","vehicle_type_total","carexpert_2023_full",274185,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Category breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,268701,279669,"",2,2995
