"period","powertrain","new_sales","total_new_sales","sales_share","vehicle_type","registered_stock","total_registered_stock","stock_share","sales_share_minus_stock_share","sales_to_stock_share_ratio","comparison_note"
2021,"BEV",NA,NA,NA,"light_vehicle",15860,18460412,0.000859135754933313,NA,NA,"Sales are calendar-year new registrations; stock is fleet registered as at 31 January of the same year."
2021,"HEV_or_PHEV",NA,NA,NA,"light_vehicle",204127,18460412,0.0110575538617448,NA,NA,"Sales are calendar-year new registrations; stock is fleet registered as at 31 January of the same year."
2021,"ICE",NA,NA,NA,"light_vehicle",18240425,18460412,0.988083310383322,NA,NA,"Sales are calendar-year new registrations; stock is fleet registered as at 31 January of the same year."
2022,"BEV",33410,1030967,0.0324064688782473,"light_vehicle",33978,18821398,0.00180528566475243,0.0306011832134949,17.9508814095034,"Sales are calendar-year new registrations; stock is fleet registered as at 31 January of the same year."
2022,"FCEV",15,1030967,1.45494472664983e-05,NA,NA,NA,NA,NA,NA,"No matching AAA registration stock bucket; stock workbook groups only BEV, Hybrid/PHEV, and ICE."
2022,"HEV_or_PHEV",87723,1030967,0.0850880775039356,"light_vehicle",276074,18821398,0.0146680921364077,0.0704199853675279,5.80089603423871,"Sales are calendar-year new registrations; stock is fleet registered as at 31 January of the same year."
2022,"ICE",909819,1030967,0.88249090417055,"light_vehicle",18511346,18821398,0.98352662219884,-0.101035718028289,0.897272004897634,"Sales are calendar-year new registrations; stock is fleet registered as at 31 January of the same year."
2023,"BEV",87217,1162013,0.0750568195020193,"light_vehicle",72572,19242273,0.00377148791101758,0.0712853315910018,19.90111628961,"Sales are calendar-year new registrations; stock is fleet registered as at 31 January of the same year."
2023,"FCEV",6,1162013,5.16345342091698e-06,NA,NA,NA,NA,NA,NA,"No matching AAA registration stock bucket; stock workbook groups only BEV, Hybrid/PHEV, and ICE."
2023,"HEV_or_PHEV",109658,1162013,0.094368995871819,"light_vehicle",362776,19242273,0.0188530741664459,0.0755159217053731,5.00549645318713,"Sales are calendar-year new registrations; stock is fleet registered as at 31 January of the same year."
2023,"ICE",965132,1162013,0.830569021172741,"light_vehicle",18806925,19242273,0.977375437922536,-0.146806416749796,0.849795266942823,"Sales are calendar-year new registrations; stock is fleet registered as at 31 January of the same year."
2024,"BEV",91293,1182225,0.0772213411152699,"light_vehicle",159920,19761981,0.0080923061306455,0.0691290349846244,9.5425630059685,"Sales are calendar-year new registrations; stock is fleet registered as at 31 January of the same year."
2024,"FCEV",10,1182225,8.45862674194844e-06,NA,NA,NA,NA,NA,NA,"No matching AAA registration stock bucket; stock workbook groups only BEV, Hybrid/PHEV, and ICE."
2024,"HEV_or_PHEV",195793,1182225,0.165613990568631,"light_vehicle",479937,19761981,0.0242858749838895,0.141328115584742,6.81935448809212,"Sales are calendar-year new registrations; stock is fleet registered as at 31 January of the same year."
2024,"ICE",895129,1182225,0.757156209689357,"light_vehicle",19122124,19761981,0.967621818885465,-0.210465609196108,0.782491873283171,"Sales are calendar-year new registrations; stock is fleet registered as at 31 January of the same year."
2025,"BEV",103270,1190783,0.0867244493749071,"light_vehicle",249873,20261073,0.0123326637241769,0.0743917856507302,7.0320939023816,"Sales are calendar-year new registrations; stock is fleet registered as at 31 January of the same year."
2025,"FCEV",2,1190783,1.67956714195618e-06,NA,NA,NA,NA,NA,NA,"No matching AAA registration stock bucket; stock workbook groups only BEV, Hybrid/PHEV, and ICE."
2025,"HEV_or_PHEV",252617,1190783,0.212143606349772,"light_vehicle",707331,20261073,0.0349108361635141,0.177232770186257,6.07672658873425,"Sales are calendar-year new registrations; stock is fleet registered as at 31 January of the same year."
2025,"ICE",834894,1190783,0.701130264708179,"light_vehicle",19303869,20261073,0.952756500112309,-0.25162623540413,0.735896595431815,"Sales are calendar-year new registrations; stock is fleet registered as at 31 January of the same year."
