"period","stock_date","geography","state","vehicle_type","powertrain","stock","unit","period_type","metric","source_id","market_scope","coverage_status","notes"
2021,"2021-01-31","Australia",NA,"light_vehicle","BEV",15860,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to national total."
2021,"2021-01-31","Australia",NA,"light_vehicle","HEV_or_PHEV",204127,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to national total."
2021,"2021-01-31","Australia",NA,"light_vehicle","ICE",18240425,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to national total."
2021,"2021-01-31","Australia",NA,"light_vehicle","total",18460412,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
2021,"2021-01-31","state:ACT","ACT","light_vehicle","BEV",689,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:ACT","ACT","light_vehicle","HEV_or_PHEV",5892,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:ACT","ACT","light_vehicle","ICE",293383,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:ACT","ACT","light_vehicle","total",299964,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
2021,"2021-01-31","state:NSW","NSW","light_vehicle","BEV",5238,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:NSW","NSW","light_vehicle","HEV_or_PHEV",72028,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:NSW","NSW","light_vehicle","ICE",5311773,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:NSW","NSW","light_vehicle","total",5389039,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
2021,"2021-01-31","state:NT","NT","light_vehicle","BEV",44,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:NT","NT","light_vehicle","HEV_or_PHEV",1329,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:NT","NT","light_vehicle","ICE",145519,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:NT","NT","light_vehicle","total",146892,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
2021,"2021-01-31","state:OTHER","OTHER","light_vehicle","BEV",50,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:OTHER","OTHER","light_vehicle","HEV_or_PHEV",623,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
