"period","geography","powertrain_profile","sales"
2024,"Australia","mixed_ICE_HEV",255659
2024,"Australia","ICE_diesel",236493
2024,"Australia","ICE_petrol",187334
2024,"Australia","mixed_ICE_PHEV",126421
2024,"Australia","BEV",61670
2024,"Australia","ICE_petrol_or_diesel",46657
2024,"Australia","HEV",29118
2024,"Australia","mixed_ICE_BEV_HEV",22629
2024,"Australia","mixed_ICE_HEV_BEV",17374
2024,"Australia","mixed_ICE_HEV_PHEV",15914
2024,"Australia","ICE_diesel_or_petrol",11462
2024,"Australia","mixed_ICE_BEV",11001
2024,"Australia","PHEV",6198
