"model","model_key","broad_vehicle_type","powertrain","min_listed_price_aud","max_listed_price_aud","max_range_km","min_energy_consumption","variant_count","source_id"
"Alfa Romeo Junior","alfa romeo junior","SUV","BEV",57900,57900,407,15.2,1,"aaa_ev_index_vehicle_specs"
"Audi e-tron GT","audi e tron gt","passenger","BEV",264900,264900,532,19.4,1,"aaa_ev_index_vehicle_specs"
"Audi Q4 e-tron","audi q4 e tron","SUV","BEV",84900,84900,524,17.4,1,"aaa_ev_index_vehicle_specs"
"Audi Q6 e-tron","audi q6 e tron","SUV","BEV",127500,127500,542,19.5,1,"aaa_ev_index_vehicle_specs"
"Audi Q8 e-tron","audi q8 e tron","SUV","BEV",140090,140090,405,24.3,1,"aaa_ev_index_vehicle_specs"
"BMW i4","bmw i4","passenger","BEV",85900,85900,520,22.2,1,"aaa_ev_index_vehicle_specs"
"BMW i5","bmw i5","passenger","BEV",155900,155900,550,16.5,1,"aaa_ev_index_vehicle_specs"
"BMW i7","bmw i7","passenger","BEV",306900,306900,625,22.2,1,"aaa_ev_index_vehicle_specs"
"BMW iX","bmw ix","SUV","BEV",142900,142900,522,20,1,"aaa_ev_index_vehicle_specs"
"BMW iX1","bmw ix1","SUV","BEV",80600,80600,464,15.7,1,"aaa_ev_index_vehicle_specs"
"BMW iX2","bmw ix2","SUV","BEV",84700,84700,427,17.1,1,"aaa_ev_index_vehicle_specs"
"BMW iX3","bmw ix3","SUV","BEV",91000,91000,440,21.6,1,"aaa_ev_index_vehicle_specs"
"BYD Atto 3","byd atto 3","SUV","BEV",39990,39990,410,14.8,1,"aaa_ev_index_vehicle_specs"
"BYD Dolphin","byd dolphin","passenger","BEV",29990,29990,410,12.6,1,"aaa_ev_index_vehicle_specs"
"BYD Seal","byd seal","passenger","BEV",46990,46990,510,13.8,1,"aaa_ev_index_vehicle_specs"
"BYD Sealion 7","byd sealion 7","SUV","BEV",63990,63990,542,17.9,1,"aaa_ev_index_vehicle_specs"
"Chery C5/E5 & Omoda 5","chery c5 e5 and omoda 5","SUV","BEV",40990,40990,505,13.2,1,"aaa_ev_index_vehicle_specs"
"CUPRA Tavascan","cupra tavascan","SUV","BEV",60990,60990,534,16.3,1,"aaa_ev_index_vehicle_specs"
"Deepal E07","deepal e07","SUV","BEV",73900,73900,590,16.6,1,"aaa_ev_index_vehicle_specs"
"Deepal S07","deepal s07","SUV","BEV",53900,53900,475,18.6,1,"aaa_ev_index_vehicle_specs"
"Fiat 500e","fiat 500e","passenger","BEV",52500,52500,311,14.4,1,"aaa_ev_index_vehicle_specs"
"Ford Mustang Mach-E","ford mustang mach e","SUV","BEV",64990,64990,470,17.8,1,"aaa_ev_index_vehicle_specs"
"Ford Transit Custom","ford transit custom","light_commercial","BEV",79990,79990,NA,NA,1,"aaa_ev_index_vehicle_specs"
"Geely EX5","geely ex5","SUV","BEV",40990,40990,430,15.8,1,"aaa_ev_index_vehicle_specs"
"Genesis G80","genesis g80","passenger","BEV",155000,155000,520,19.1,1,"aaa_ev_index_vehicle_specs"
"Genesis GV60","genesis gv60","SUV","BEV",103384,103384,470,18.8,1,"aaa_ev_index_vehicle_specs"
"Genesis GV70","genesis gv70","SUV","BEV",132800,132800,445,19.9,1,"aaa_ev_index_vehicle_specs"
"GWM Ora","gwm ora","passenger","BEV",NA,NA,310,16.7,1,"aaa_ev_index_vehicle_specs"
"Hyundai Inster","hyundai inster","SUV","BEV",39000,39000,327,14.3,1,"aaa_ev_index_vehicle_specs"
"Hyundai Ioniq 5","hyundai ioniq 5","SUV","BEV",69800,69800,440,15.6,1,"aaa_ev_index_vehicle_specs"
"Hyundai Ioniq 6","hyundai ioniq 6","passenger","BEV",67300,67300,614,11.6,1,"aaa_ev_index_vehicle_specs"
"Hyundai Ioniq 9","hyundai ioniq 9","SUV","BEV",119750,119750,600,20.6,1,"aaa_ev_index_vehicle_specs"
"Hyundai Kona BEV","hyundai kona bev","SUV","BEV",54000,54000,NA,NA,1,"aaa_ev_index_vehicle_specs"
"Jeep Avenger","jeep avenger","SUV","BEV",49990,49990,396,15.6,1,"aaa_ev_index_vehicle_specs"
"KIA EV3","kia ev3","SUV","BEV",47600,47600,436,14.9,1,"aaa_ev_index_vehicle_specs"
"Kia EV5","kia ev5","SUV","BEV",56770,56770,400,18.2,1,"aaa_ev_index_vehicle_specs"
"Kia EV6","kia ev6","SUV","BEV",72590,72590,528,16.5,1,"aaa_ev_index_vehicle_specs"
"Kia EV9","kia ev9","SUV","BEV",97000,97000,443,19.5,1,"aaa_ev_index_vehicle_specs"
"Kia Niro BEV","kia niro bev","SUV","BEV",66590,66590,455,15.9,1,"aaa_ev_index_vehicle_specs"
"LDV eDeliver7","ldv edeliver7","light_commercial","BEV",67358,67358,NA,NA,1,"aaa_ev_index_vehicle_specs"
"LDV Mifa 9","ldv mifa 9","people_mover","BEV",129000,129000,NA,NA,1,"aaa_ev_index_vehicle_specs"
"Leapmotor C10 BEV","leapmotor c10 bev","SUV","BEV",43888,43888,480,16.3,1,"aaa_ev_index_vehicle_specs"
"Lexus RZ","lexus rz","SUV","BEV",121059,121059,470,15.2,1,"aaa_ev_index_vehicle_specs"
"Lotus Eletre","lotus eletre","SUV","BEV",189990,189990,NA,NA,1,"aaa_ev_index_vehicle_specs"
"Lotus Emeya","lotus emeya","passenger","BEV",189990,189990,NA,NA,1,"aaa_ev_index_vehicle_specs"
"Maserati Coupe/Conv","maserati coupe conv","passenger","BEV",475000,475000,NA,NA,1,"aaa_ev_index_vehicle_specs"
"Mercedes-Benz EQA","mercedes benz eqa","SUV","BEV",80700,80700,578,14.1,1,"aaa_ev_index_vehicle_specs"
"Mercedes-Benz EQB","mercedes benz eqb","SUV","BEV",85400,85400,564,14.7,1,"aaa_ev_index_vehicle_specs"
"Mercedes-Benz EQE SUV","mercedes benz eqe suv","SUV","BEV",135200,135200,626,16.3,1,"aaa_ev_index_vehicle_specs"
"Mercedes-Benz EQS SUV","mercedes benz eqs suv","SUV","BEV",197200,197200,698,19.1,1,"aaa_ev_index_vehicle_specs"
"Mercedes-Benz EQV","mercedes benz eqv","people_mover","BEV",161723,161723,430,25.5,1,"aaa_ev_index_vehicle_specs"
"Mercedes-Benz eVito Tourer","mercedes benz evito tourer","people_mover","BEV",137515,137515,421,26.2,1,"aaa_ev_index_vehicle_specs"
"Mercedes-Benz eVito Van","mercedes benz evito van","light_commercial","BEV",98951,98951,283,26.1,1,"aaa_ev_index_vehicle_specs"
"Mercedes-Benz G-Class","mercedes benz g class","SUV","BEV",249900,249900,567,23.1,1,"aaa_ev_index_vehicle_specs"
"MG Cyberster","mg cyberster","passenger","BEV",99900,99900,443,19.1,1,"aaa_ev_index_vehicle_specs"
"MG IM5","mg im5","passenger","BEV",NA,NA,615,18.6,1,"aaa_ev_index_vehicle_specs"
"MG IM6","mg im6","SUV","BEV",NA,NA,545,21.7,1,"aaa_ev_index_vehicle_specs"
"MG MG4","mg mg4","passenger","BEV",37990,37990,405,18.4,1,"aaa_ev_index_vehicle_specs"
"MG S5","mg s5","SUV","BEV",NA,NA,340,16.6,1,"aaa_ev_index_vehicle_specs"
"MINI Aceman","mini aceman","passenger","BEV",55990,55990,300,14.1,1,"aaa_ev_index_vehicle_specs"
"MINI Countryman","mini countryman","SUV","BEV",72990,72990,396,18.3,1,"aaa_ev_index_vehicle_specs"
"MINI Hatch","mini hatch","passenger","BEV",58990,58990,362,15.1,1,"aaa_ev_index_vehicle_specs"
