VEHICLE_ID,MANUFACTURER,MODEL,YEAR,TRANSMISSION,BODY_STYLE,FUEL,TYPE_OF_CAR,CITY_CYCLE,HIGHWAY_CYCLE,FUEL_SYSTEM,ENGINE_DISPLACEMENT,ENGINE_DISPLACEMENT_COMMENT,NO_CYLINDERS,NO_GEAR_RATIOS,SEATING_CAPACITY,AXLE_RATIO,ADR8101_CYCLE
12,Alfa Romeo,33 4x4 Man. Wagon 4dr,1986,man,Wagon,petrol,Passenger,10,6.8,C,1.5,,4,5,5,4.11,
13,Alfa Romeo,33 GCL Man. Sedan 4dr,1986,man,Sedan,petrol,Passenger,11,7,C,1.5,,4,5,5,4.11,
14,Alfa Romeo,75 Man. Sedan 4dr,1986,man,Sedan,petrol,Passenger,12.5,9,I,2.5,,6,5,5,4.10,
15,Alfa Romeo,90 Man. Sedan 4dr,1986,man,Sedan,petrol,Passenger,12,9,I,2.5,,6,5,5,4.10,
16,Alfa Romeo,GTV6-2.5 Man. Coupe 2dr,1986,man,Coupe,petrol,Passenger,12,9,I,2.5,,6,5,4,4.10,
17,Alfa Romeo,Sprint Man. Coupe 2dr,1986,man,Coupe,petrol,Passenger,11,7,C,1.5,,4,5,5,4.11,
18,Audi,80-CC Auto. Sedan 4dr,1986,auto,Sedan,petrol,Passenger,10.5,8.5,I,1.8,,4,3,5,3.25,
19,Audi,80-CC Man. Sedan 4dr,1986,man,Sedan,petrol,Passenger,10,7.6,I,1.8,,4,5,5,4.11,
20,Bentley,Mulsanne Auto. Saloon 4dr,1986,auto,Sedan,petrol,Passenger,27,20,I,6.8,,8,3,5,3.06,
21,Bentley,Mulsanne L Auto. Saloon 4dr,1986,auto,Sedan,petrol,Passenger,27,20,I,6.8,,8,3,5,3.06,
22,BMW,318i Auto. Cabriolet 2dr,1986,auto,Convertible,petrol,Passenger,10.5,7.8,I,1.8,,4,4,5,4.27,
23,BMW,318i Auto. Sedan 2dr,1986,auto,Sedan,petrol,Passenger,10.5,7.8,I,1.8,,4,4,5,4.27,
