VEHICLE TYPE,FUEL TYPE,MODEL,VARIANT DETAILS,LISTED PRICE ($AUD),FAST CHARGE TIME (minutes),ANCAP RATING,ANCAP VAN RATING,RANGE (km),ENERGY CONSUMPTION
Large Car,BEV,Audi e-tron GT,2025 Audi RS e-tron GT Auto e-quattro MY25,264900,"18 mins (10%-80% charge, 320kW charger)",Unrated,,532,19.4
Medium SUV,BEV,Audi Q4 e-tron,2025 Audi Q4 e-tron 45 Auto MY25,84900,"28 mins (10%-80% charge, 175kW charger)","5 star, 2021",,524,17.4
Medium SUV,BEV,Audi Q6 e-tron,2025 Audi Q6 e-tron Auto e-quattro MY25,127500,"21 mins (10%-80% charge, 170kW charger)","5 star, 2024",,542,19.5
Large SUV,BEV,Audi Q8 e-tron,2025 Audi Q8 e-tron 50 Auto e-quattro MY25,140090,"31 mins (10%-80% charge, 170kW charger)","5 star, 2019",,405,24.3
Medium Car,BEV,BMW i4,2024 BMW i4 eDrive35 M Sport G26 Auto,85900,"31 mins (10%-80% charge, 205kW charger)","4 star, 2022",,520,22.2
Large Car,BEV,BMW i5,2025 BMW i5 eDrive40 M Sport G60 Auto,155900,"30 mins (10%-80% charge, 205kW charger)",Unrated,,550,16.5
Large Car,BEV,BMW i7,2025 BMW i7 xDrive60 M Sport G70 Auto AWD,306900,"34 mins (10%-80% charge, 205kW charger)",Unrated,,625,22.2
Large SUV,BEV,BMW iX,2025 BMW iX xDrive45 M Sport I20 LCI Auto AWD,142900,"34 mins (10%-80% charge, 205kW charger)","5 star, 2021",,522,20
Small SUV,BEV,BMW iX1,2025 BMW iX1 eDrive20 xLine U11 Auto,80600,"29 mins (10%-80% charge, 205kW charger)","5 star, 2022",,464,15.7
Small SUV,BEV,BMW iX2,2025 BMW iX2 eDrive20 M Sport U10 Auto,84700,"39 mins (10%-80% charge, 205kW charger)",Unrated,,427,17.1
Medium SUV,BEV,BMW iX3,2025 BMW iX3 M Sport G08 Auto,91000,"30 mins (10%-80% charge, 150kW charger)",Unrated,,440,21.6
Medium SUV,BEV,BYD Atto 3,2025 BYD ATTO 3 Essential Auto,39990,"29 mins (30%-80% charge, 88kWh charger)","5 star, 2022",,410,14.8
Small Car,BEV,BYD Dolphin,2025 BYD Dolphin Essential Auto MY25,29990,"29 mins (30%-80% charge, 100kWh charger)","5 star, 2023",,410,12.6
Medium Car,BEV,BYD Seal,2025 BYD Seal Dynamic Auto MY25,46990,"26 mins (30%-80% charge, 150kW charger)","5 star, 2023",,510,13.8
Medium SUV,BEV,BYD Sealion 7,2025 BYD Sealion 7 Performance Auto AWD,63990,,"5 star, 2025",,542,17.9
Small SUV,BEV,Chery C5/E5 & Omoda 5,2025 Chery E5 Ultimate Auto MY25.5,40990,"28 mins (30%-80% charge, 80kW charger)",Unrated,,505,13.2
Medium SUV,BEV,CUPRA Tavascan,2025 CUPRA Tavascan Endurance Auto MY25,60990,"28 mins (10%-80% charge, 135kW charger)","4 star, 2024",,534,16.3
Large SUV,BEV,Deepal E07,2025 Deepal E07 Performance Auto AWD MY25,73900,"15 mins (30%-80% charge, 240kW charger)",Unrated,,590,16.6
Medium SUV,BEV,Deepal S07,2025 Deepal S07 Auto MY24,53900,"35 mins (30%-80% charge, 92kW charger)","5 star, 2024",,475,18.6
Small Car,BEV,Fiat 500e,2023 Fiat 500e La Prima Auto MY23,52500,"35 mins (0%-80% charge, 85kW charger)","4 star, 2021",,311,14.4
Large SUV,BEV,Ford Mustang Mach-E,2023 Ford Mustang Mach-E Select Auto MY23.75,64990,"32 mins (10%-80% charge, 150kW charger)","5 star, 2021",,470,17.8
Van,BEV,Ford Transit Custom,2025 Ford E-Transit Custom Sport SWB AV SWB Auto 26.00MY,79990,"32 mins (15%-80% charge, 125kW charger)",Unrated,,,
Medium SUV,BEV,Geely EX5,2025 Geely EX5 Complete Auto MY25,40990,"20 mins (30%-80% charge, 100kW charger)","5 star, 2025",,430,15.8
Large Car,BEV,Genesis G80,2025 Genesis G80 Signature Auto AWD MY25,155000,"25 mins (10%-80% charge, 350kW charger)","5 star, 2021",,520,19.1
Small SUV,BEV,Genesis GV60,2025 Genesis GV60 AWD Auto AWD MY24,103384,"18 mins (10%-80% charge, 350kW charger)","5 star, 2022",,470,18.8
