"STATE","VEHICLE TYPE","MANUFACTURER","MODEL","FUEL TYPE","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026"
"NORTHERN TERRITORY","Large SUV","Hyundai","Hyundai Palisade","ICE",7,2,10,7,5,4,5,6,3,4,2,5,3,1,1,1,0
"QUEENSLAND","Ute (4WD)","SsangYong","KGM Musso/MusXLV","ICE",105,55,167,263,301,330,196,216,221,320,191,159,152,0,0,0,0
"TASMANIA","Small Car","Subaru","Subaru Impreza","ICE",20,18,22,25,19,19,6,6,7,9,12,11,13,9,8,5,3
"NORTHERN TERRITORY","Small SUV","Suzuki","Suzuki Ignis","ICE",7,4,3,4,8,7,9,10,9,8,5,9,6,0,5,1,30
"NEW SOUTH WALES","Medium SUV","Mazda","Mazda CX-5","ICE",2541,1962,2074,1730,1935,1349,1748,1821,1599,1792,1652,1418,1612,1830,1416,1488,1676
"QUEENSLAND","Medium SUV","Maserati","Maserati Grecale","ICE",0,0,0,0,10,33,28,20,18,19,14,5,12,9,11,7,11
"AUSTRALIAN CAPITAL TERRITORY","Sports Car","Bentley","Bentley Coupe/Conv","ICE",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"NEW SOUTH WALES","Small Car","Peugeot","Peugeot 308","ICE",0,0,3,39,15,19,25,19,10,7,14,3,5,4,5,5,1
"VICTORIA","Medium SUV","CUPRA","CUPRA Tavascan","BEV",0,0,0,0,0,0,0,0,0,0,0,0,3,44,27,27,39
"VICTORIA","Ute (4WD)","Toyota","Toyota Landcruiser PU/CC","ICE",476,605,593,371,360,470,541,523,522,479,459,407,311,382,325,277,166
"VICTORIA","Large Car","Mercedes-Benz Cars","Mercedes-Benz E-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"QUEENSLAND","Small Car","Mercedes-Benz","Mercedes-Benz A-Class","ICE",110,130,151,81,108,88,93,71,70,128,72,64,74,82,102,82,0
"SOUTH AUSTRALIA","Medium SUV","Kia","Kia Sportage","Hybrid",0,0,0,0,0,0,0,0,22,94,49,86,48,63,87,76,134
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","Land Rover","Land Rover Range Rover Evoque","PHEV",0,0,0,0,0,3,0,3,3,4,0,1,1,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","Kia","Kia EV3","BEV",0,0,0,0,0,0,0,0,0,0,0,0,5,28,36,29,27
