"postcode","period","stock_date","state","BEV","HEV_or_PHEV","ICE","irsd_score","irsd_decile","irsad_score","irsad_decile","ier_score","ier_decile","ieo_score","ieo_decile","usual_resident_population","source_seifa_url","total_stock","bev_share","electrified_share","bev_per_1000_vehicles","wealth_data_status","charger_site_count","plug_count","ac_site_count","ac_plug_count","dc_site_count","dc_plug_count","upcoming_site_count","upcoming_plug_count","fast_or_upcoming_site_count","fast_or_upcoming_plug_count","max_kw","estimated_kw_capacity","operator_count","source_count","plugs_per_1000_vehicles","dc_plugs_per_1000_vehicles","fast_plugs_per_1000_vehicles","plugs_per_1000_bevs","plugs_per_10000_people","dc_plugs_per_10000_people","charger_access_status"
"2614",2025,"2025-01-31","ACT",455,662,12692,1066.9905158,9,1087.3166071,9,1029.7717001,7,1118.9554323,10,20595,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",13809,0.0329495256716634,0.0808892751104352,32.9495256716634,"matched_seifa",1,4,0,0,1,4,0,0,1,4,350,1400,1,1,0.289666159750887,0.289666159750887,0.289666159750887,8.79120879120879,1.94221898519058,1.94221898519058,"has_charging"
"2000",2025,"2025-01-31","NSW",1571,2715,17882,973.06540457,4,1106.9733263,10,804.15637701,1,1142.2714534,10,27936,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",22168,0.0708679177192349,0.193341753879466,70.8679177192349,"matched_seifa",29,102,27,94,1,2,1,6,2,8,350,2972,11,2,4.60122699386503,0.0902201371346084,0.360880548538434,64.9267982176957,36.5120274914089,0.715922107674685,"has_charging"
"2007",2025,"2025-01-31","NSW",49,148,2160,959.87482981,3,1073.7919125,9,790.51830532,1,1139.2299071,10,7410,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",2357,0.020789138735681,0.0835808230801867,20.789138735681,"matched_seifa",3,7,3,7,0,0,0,0,0,0,22,110,3,1,2.96987696224014,0,0,142.857142857143,9.44669365721997,0,"has_charging"
"2008",2025,"2025-01-31","NSW",88,129,2463,1022.6977528,7,1132.1291391,10,815.96551517,1,1191.4264577,10,10400,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",2680,0.0328358208955224,0.0809701492537313,32.8358208955224,"matched_seifa",2,6,2,6,0,0,0,0,0,0,9,27,2,1,2.23880597014925,0,0,68.1818181818182,5.76923076923077,0,"has_charging"
"2009",2025,"2025-01-31","NSW",194,470,5356,1041.6038579,8,1127.5674776,10,918.41346351,1,1154.6583802,10,12658,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",6020,0.0322259136212625,0.110299003322259,32.2259136212625,"matched_seifa",2,4,2,4,0,0,0,0,0,0,22,88,2,1,0.664451827242525,0,0,20.6185567010309,3.16005688102386,0,"has_charging"
"2010",2025,"2025-01-31","NSW",323,484,9460,1046.0130411,8,1144.5815529,10,888.37296036,1,1168.2944766,10,26443,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",10267,0.0314600175318983,0.0786013441122042,31.4600175318983,"matched_seifa",8,16,8,16,0,0,0,0,0,0,22,266,4,2,1.55839096133242,0,0,49.5356037151703,6.05075067125515,0,"has_charging"
"2011",2025,"2025-01-31","NSW",287,448,7634,1050.4773876,8,1134.2486111,10,873.07121748,1,1168.7292014,10,18187,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",8369,0.0342932249970128,0.0878241127972279,34.2932249970128,"matched_seifa",3,9,3,9,0,0,0,0,0,0,22,86,3,1,1.07539729955789,0,0,31.3588850174216,4.94858965194919,0,"has_charging"
"2015",2025,"2025-01-31","NSW",545,910,9594,1094.4321121,10,1164.5650373,10,983.83682962,4,1173.760689,10,11422,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",11049,0.0493257308353697,0.131686125441216,49.3257308353697,"matched_seifa",8,25,4,9,4,16,0,0,4,16,175,2688,5,5,2.26264820345733,1.44809485021269,1.44809485021269,45.8715596330275,21.8875853615829,14.0080546314131,"has_charging"
"2016",2025,"2025-01-31","NSW",120,245,4927,984.53725337,4,1084.7634911,9,879.37725835,1,1116.5173277,10,13072,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",5292,0.0226757369614512,0.0689720332577475,22.6757369614512,"matched_seifa",2,12,2,12,0,0,0,0,0,0,22,264,2,2,2.26757369614512,0,0,100,9.17992656058752,0,"has_charging"
"2017",2025,"2025-01-31","NSW",456,802,10996,1013.5670148,6,1110.241587,10,870.44848968,1,1138.4202736,10,29003,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",12254,0.0372123388281378,0.102660355802187,37.2123388281378,"matched_seifa",6,25,3,8,3,17,0,0,3,17,175,2923,3,3,2.04015015505141,1.38730210543496,1.38730210543496,54.8245614035088,8.61979795193601,5.86146260731648,"has_charging"
