"objectid","station_name","station_address","operator","number_of_plugs","charger_type","charger_rating","latitude","longitude","lganame","pcode","source","site_id","postcode","station_name_clean","charger_kw_max","estimated_site_kw_capacity","status","is_ac","is_dc","is_upcoming","is_fast_or_upcoming","is_ultrafast_or_upcoming","coordinate_status","source_csv"
NA,"","1 Cathedral Sq, Sydney, 2000","AXCharge",3,"AC","22 kW",-33.87136841,151.2137407,"Sydney, Council of the City of","2000","Existing Destination Chargers",10,"2000","1 Cathedral Sq",22,66,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","101 Goulburn St, Sydney, 2000","Chargefox",4,"AC","6 kW",-33.87844949,151.208999,"Sydney, Council of the City of","2000","Existing Destination Chargers",62,"2000","101 Goulburn St",6,24,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","201 Sussex St, Sydney, 2000","Chargefox",2,"AC","22 kW",-33.871959,151.2039029,"Sydney, Council of the City of","2000","Existing Destination Chargers",305,"2000","201 Sussex St",22,44,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","225 George St, Sydney, 2000","Chargestar",4,"AC","22 kW",-33.86213918,151.2072993,"Sydney, Council of the City of","2000","Existing Destination Chargers",337,"2000","225 George St",22,88,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","1 Martin Pl, Sydney, 2000","Everty",3,"AC","22 kW",-33.86784589,151.2077858,"Sydney, Council of the City of","2000","Existing Destination Chargers",31,"2000","1 Martin Pl",22,66,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","Sussex St, Sydney, 2000","Everty",1,"AC","22 kW",-33.87052257,151.2038458,"Sydney, Council of the City of","2000","Existing Destination Chargers",962,"2000","Sussex St",22,22,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","12 Trinity Ave, Dawes Point, 2000","EVX",2,"AC","22 kW",-33.85740045,151.2065726,"Sydney, Council of the City of","2000","Existing Destination Chargers",113,"2000","12 Trinity Ave",22,44,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","16 Kent St, Millers Point, 2000","EVX",2,"AC","22 kW",-33.85866571,151.2036677,"Sydney, Council of the City of","2000","Existing Destination Chargers",200,"2000","16 Kent St",22,44,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","161 Elizabeth Street, Sydney, 2000","Exploren",8,"AC","22 kW",-33.87152857,151.2098208,"Sydney, Council of the City of","2000","Existing Destination Chargers",204,"2000","161 Elizabeth Street",22,176,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","389 Pitt Street, Sydney, 2000","Exploren",2,"AC","6 kW",-33.87696501,151.2074955,"Sydney, Council of the City of","2000","Existing Destination Chargers",507,"2000","389 Pitt Street",6,12,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","455 George St, Sydney, 2000","Exploren",2,"DC","60 kW",-33.87152357,151.2067017,"Sydney, Council of the City of","2000","Existing Fast Chargers",562,"2000","455 George St",60,120,"existing",FALSE,TRUE,FALSE,TRUE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","818-820 George St, Sydney , 2000","Exploren",2,"AC","6 kW",-33.88426331,151.203022,"Sydney, Council of the City of","2000","Existing Destination Chargers",733,"2000","818-820 George St",6,12,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"Sydney Opera House","2A Macquarie St, Sydney NSW 2000","Non-networked",2,"AC","AC",-33.8593398,151.2135232,"Sydney, Council of the City of","2000","Existing Destination Chargers",1191,"2000","Sydney Opera House",NA,NA,"existing",TRUE,FALSE,FALSE,NA,FALSE,"has_coordinates","ev_20251216.csv"
NA,"Darling Square Car Park ","35 Tumbalong Bvd, Haymarket NSW 2000","Non-networked",2,"AC","AC",-33.8782742,151.2025947,"Sydney, Council of the City of","2000","Existing Destination Chargers",1192,"2000","Darling Square Car Park",NA,NA,"existing",TRUE,FALSE,FALSE,NA,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","Darling Dr, Sydney, 2000","NRMA",20,"AC","22 kW",-33.8751502,151.1995636,"Sydney, Council of the City of","2000","Existing Destination Chargers",845,"2000","Darling Dr",22,440,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","Darling Dr, Sydney, 2000","NRMA",5,"AC","22 kW",-33.8767518,151.20002,"Sydney, Council of the City of","2000","Existing Destination Chargers",846,"2000","Darling Dr",22,110,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","225 George St, Sydney, 2000","Saascharge",4,"AC","22 kW",-33.86262867,151.2072362,"Sydney, Council of the City of","2000","Existing Destination Chargers",338,"2000","225 George St",22,88,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","11 Hickson Rd, Sydney, 2000","Tesla",2,"AC","22 kW",-33.85426831,151.2081952,"Sydney, Council of the City of","2000","Existing Destination Chargers",81,"2000","11 Hickson Rd",22,44,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","11 Jamison St, Sydney, 2000","Tesla",2,"AC","22 kW",-33.86433138,151.2060691,"Sydney, Council of the City of","2000","Existing Destination Chargers",82,"2000","11 Jamison St",22,44,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","117 Macquarie St, Sydney, 2000","Tesla",2,"AC","22 kW",-33.86298603,151.2123053,"Sydney, Council of the City of","2000","Existing Destination Chargers",97,"2000","117 Macquarie St",22,44,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","135 King St, Sydney, 2000","Tesla",1,"AC","22 kW",-33.8690591,151.2088539,"Sydney, Council of the City of","2000","Existing Destination Chargers",146,"2000","135 King St",22,22,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","161 Elizabeth St, Sydney, 2000","Tesla",2,"AC","22 kW",-33.87192197,151.2097207,"Sydney, Council of the City of","2000","Existing Destination Chargers",203,"2000","161 Elizabeth St",22,44,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","169-179 Thomas St, Sydney, 2000","Tesla",2,"AC","22 kW",-33.8818549,151.2024194,"Sydney, Council of the City of","2000","Existing Destination Chargers",212,"2000","169-179 Thomas St",22,44,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","2 Quay St, Sydney, 2000","Tesla",6,"AC","19 kW",-33.87969174,151.2027187,"Sydney, Council of the City of","2000","Existing Destination Chargers",280,"2000","2 Quay St",19,114,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","259 Pitt St, Sydney, 2000","Tesla",4,"AC","22 kW",-33.87196101,151.208024,"Sydney, Council of the City of","2000","Existing Destination Chargers",376,"2000","259 Pitt St",22,88,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","455 George St, Sydney, 2000","Tesla",2,"AC","22 kW",-33.8712573,151.2063043,"Sydney, Council of the City of","2000","Existing Destination Chargers",561,"2000","455 George St",22,44,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","7 Hickson Rd, Sydney, 2000","Tesla",2,"AC","6 kW",-33.85558463,151.2094885,"Sydney, Council of the City of","2000","Existing Destination Chargers",683,"2000","7 Hickson Rd",6,12,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","89-113 Kent St, Sydney, 2000","Tesla",3,"AC","22 kW",-33.86050055,151.2036006,"Sydney, Council of the City of","2000","Existing Destination Chargers",758,"2000","89-113 Kent St",22,66,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
436,"","528 Kent St Sydney NSW 2000 Australia","Tesla Motors ",6,"Upcoming","2x350kW & 2x175kW",-33.8758825,151.2057916,"","","",1042,"2000","528 Kent St Sydney NSW 2000 Australia",350,1050,"upcoming",FALSE,FALSE,TRUE,TRUE,TRUE,"has_coordinates","ev_20251216.csv"
NA,"","67 Thomas St, Sydney, 2007","Everty",2,"AC","22 kW",-33.88328133,151.1988549,"Sydney, Council of the City of","2007","Existing Destination Chargers",676,"2007","67 Thomas St",22,44,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"InterPark Thomas Street","25 Thomas St, Ultimo NSW 2007","Non-networked",2,"AC","AC",-33.8832473,151.1986734,"Sydney, Council of the City of","2007","Existing Destination Chargers",1161,"2007","InterPark Thomas Street",NA,NA,"existing",TRUE,FALSE,FALSE,NA,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","Bay St, Sydney, 2007","Tesla",3,"AC","22 kW",-33.88364169,151.1948789,"Sydney, Council of the City of","2007","Existing Destination Chargers",808,"2007","Bay St",22,66,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"Four Points by Sheraton Sydney","4 Central Park Ave, Chippendale NSW 2008","Non-networked",3,"AC","AC",-33.8847132,151.1990103,"Sydney, Council of the City of","2008","Existing Destination Chargers",1193,"2008","Four Points by Sheraton Sydney",NA,NA,"existing",TRUE,FALSE,FALSE,NA,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","88 Broadway, Sydney, 2008","Tesla",3,"AC","9 kW",-33.88482987,151.1986226,"Sydney, Council of the City of","2008","Existing Destination Chargers",749,"2008","88 Broadway",9,27,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","55 Pyrmont St, Pyrmont, 2009","EVX",2,"AC","22 kW",-33.86814819,151.1941592,"Sydney, Council of the City of","2009","Existing Destination Chargers",620,"2009","55 Pyrmont St",22,44,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","55-65 Murray St, Sydney, 2009","Non-networked",2,"AC","22 kW",-33.87192597,151.197966,"Sydney, Council of the City of","2009","Existing Destination Chargers",626,"2009","55-65 Murray St",22,44,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","112A Burton St
Darlinghurst NSW 2010
Australia","EVX",2,"AC","22 kW",-33.8789017,151.2192178,"Sydney, Council of the City of","2010","Kerbside Charging R1",1883,"2010","112A Burton St
Darlinghurst NSW 2010
Australia",22,44,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","15 Boundary St
Darlinghurst NSW 2010
Australia","EVX",2,"AC","22 kW",-33.8788555,151.2251411,"Woollahra Municipal Council","2010","Kerbside Charging R1",1926,"2010","15 Boundary St
Darlinghurst NSW 2010
Australia",22,44,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
NA,"","3-19 Yurong St, Darlinghurst, 2010","EVX",2,"AC","22 kW",-33.87494799,151.2141842,"Sydney, Council of the City of","2010","Existing Destination Chargers",452,"2010","3-19 Yurong St",22,44,"existing",TRUE,FALSE,FALSE,FALSE,FALSE,"has_coordinates","ev_20251216.csv"
