OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source
,,", Muswellbrook, 2333",EVUp,2,AC,22 kW,-32.26224229,150.8901391,Muswellbrook Shire Council,2333,Existing Destination Chargers
,,"01 Wallgrove Road, Sydney, 2766",BP,4,DC,150 kW,-33.81100405,150.8495966,Blacktown City Council,2766,Existing Fast Chargers
,,"1 - 7 Ross St, Wilcannia NSW 2836, Australia",NRMA,4,DC,50 kW,-30.5118739,151.669395,Central Darling Shire Council,2350,TfNSW Regional
,,"1 Balfour St, Sydney, 2070",Chargefox,7,AC,22 kW,-33.77410115,151.167035,Ku-ring-gai Council,2070,Existing Destination Chargers
,,"1 Bay Ln, Byron Bay, 2481",Tesla,2,AC,19 kW,-28.64181886,153.6136326,Byron Shire Council,2481,Existing Destination Chargers
,,"1 Bay St, Sydney, 2037",Tesla,16,DC,130 kW,-33.88350355,151.1944334,"Sydney, Council of the City of",2037,Existing Fast Chargers
,,"1 Bells Blvd, Kingscliff, 2487",Evie,4,DC,75 kW,-28.27690295,153.5770781,Tweed Shire Council,2487,Existing Fast Chargers
,,"1 Bradleys Head Rd, Sydney, 2088",Chargefox,1,AC,22 kW,-33.84103708,151.2422452,Mosman Municipal Council,2088,Existing Destination Chargers
,,"1 Bradleys Head Rd, Sydney, 2088",Chargefox,1,AC,22 kW,-33.84141846,151.2426306,Mosman Municipal Council,2088,Existing Destination Chargers
,,"1 Cathedral Sq, Sydney, 2000",AXCharge,3,AC,22 kW,-33.87136841,151.2137407,"Sydney, Council of the City of",2000,Existing Destination Chargers
,,"1 Dalgal Way, Sydney, 2037",Tesla,2,AC,22 kW,-33.87637442,151.1776376,"Sydney, Council of the City of",2037,Existing Destination Chargers
,,"1 Dalgal Way, Sydney, 2037",Tesla,4,DC,250 kW,-33.87650055,151.178,"Sydney, Council of the City of",2037,Existing Fast Chargers
,,"1 Eels Pl, Sydney, 2150",Everty,3,AC,22 kW,-33.8064585,151.0017477,"Parramatta, Council of the City of",2150,Existing Destination Chargers
,,"1 Elizabeth St, Merimbula, 2548",Tesla,1,AC,8 kW,-36.89530635,149.9118809,Bega Valley Shire Council,2548,Existing Destination Chargers
,,"1 Ferguson Cres, Mittagong, 2575",Tesla,1,AC,22 kW,-34.44729434,150.4615586,Wingecarribee Shire Council,2575,Existing Destination Chargers
,,"1 Ferrers Rd, Sydney, 2766",Tesla,2,AC,22 kW,-33.80382587,150.8677297,Blacktown City Council,2766,Existing Destination Chargers
,,"1 Frederick St, Sydney, 2064",Evie,6,DC,150 kW,-33.81707912,151.1889369,Willoughby City Council,2064,Existing Fast Chargers
