"postcode","period","stock_date","state","BEV","HEV_or_PHEV","ICE","irsd_score","irsd_decile","irsad_score","irsad_decile","ier_score","ier_decile","ieo_score","ieo_decile","usual_resident_population","source_seifa_url","total_stock","bev_share","electrified_share","bev_per_1000_vehicles","wealth_data_status"
"2045",2025,"2025-01-31","NSW",889,816,4341,1082.6703879,10,1124.8059409,10,1091.2159147,10,1116.6247316,10,6480,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",6046,0.147039364869335,0.282004631161098,147.039364869335,"matched_seifa"
"2601",2025,"2025-01-31","ACT",183,211,2180,1100.6398466,10,1165.2378532,10,916.52783104,1,1210.6455803,10,7680,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",2574,0.0710955710955711,0.153069153069153,71.0955710955711,"matched_seifa"
"2000",2025,"2025-01-31","NSW",1571,2715,17882,973.06540457,4,1106.9733263,10,804.15637701,1,1142.2714534,10,27936,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",22168,0.0708679177192349,0.193341753879466,70.8679177192349,"matched_seifa"
"3205",2025,"2025-01-31","VIC",936,1831,14601,1028.2162913,7,1093.2080209,10,928.31347215,2,1144.6265458,10,11548,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",17368,0.0538922155688623,0.15931598341778,53.8922155688623,"matched_seifa"
"3000",2025,"2025-01-31","VIC",1182,2587,18614,979.90573596,4,1064.7490358,9,749.3676996,1,1141.3743655,10,43084,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",22383,0.0528079345932181,0.168386722065854,52.8079345932181,"matched_seifa"
"4000",2025,"2025-01-31","QLD",1706,4741,26140,1015.0239436,6,1074.6723051,9,861.70413686,1,1116.8368783,10,20341,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",32587,0.0523521649737625,0.197839629300028,52.3521649737625,"matched_seifa"
"2030",2025,"2025-01-31","NSW",495,461,8537,1113.9523327,10,1175.3414276,10,1110.775545,10,1181.0964057,10,14434,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",9493,0.052143684820394,0.10070578320868,52.143684820394,"matched_seifa"
"2063",2025,"2025-01-31","NSW",207,212,3635,1121.917637,10,1181.4720303,10,1124.8528607,10,1188.387404,10,6493,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",4054,0.0510606808090775,0.103354711396152,51.0606808090775,"matched_seifa"
"2023",2025,"2025-01-31","NSW",323,349,5662,1119.5907549,10,1181.423028,10,1078.4613488,9,1193.7607956,10,10590,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",6334,0.0509946321439848,0.106094095358383,50.9946321439848,"matched_seifa"
"2113",2025,"2025-01-31","NSW",1149,2200,19214,1062.8315349,9,1112.6120024,10,988.99589016,5,1138.5349589,10,27637,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",22563,0.0509240792447813,0.148428843682134,50.9240792447813,"matched_seifa"
"2609",2025,"2025-01-31","ACT",309,609,5229,874.29638803,1,871.20035248,1,877.21220235,1,892.23244336,2,1136,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",6147,0.0502684236212787,0.149341142020498,50.2684236212787,"matched_seifa"
"2015",2025,"2025-01-31","NSW",545,910,9594,1094.4321121,10,1164.5650373,10,983.83682962,4,1173.760689,10,11422,"https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/2021/Postal%20Area%2C%20Indexes%2C%20SEIFA%202021.xlsx",11049,0.0493257308353697,0.131686125441216,49.3257308353697,"matched_seifa"
"5950",2025,"2025-01-31","OTHER",228,875,3536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4639,0.0491485233886614,0.237766760077603,49.1485233886614,"missing_seifa"
